PIVOT TABLE 1 — National Performance Overview,,,,,,,
"Summarizing annual generation, capacity utilization, and outage trends.",,,,,,,
Year,Total Generation (MU),Avg Capacity Factor (%),Avg Available Capacity (MW),,,,
2017,1564.74,6807.84%,28883.09%,,,,
2018,5543.58,7196.21%,31000.00%,,,,
2019,4968.05,6079.76%,27403.44%,,,,
2020,4313.07,5878.70%,27818.02%,,,,
2021,5836.51,6008.15%,31873.71%,,,,
2022,6924.76,6917.11%,34858.47%,,,,
2023,6523.28,6781.99%,33438.95%,,,,
2024,7144.83,6996.40%,36197.01%,,,,
2025,6299.94,6635.42%,35924.38%,,,,
2026,501.84,7471.06%,38281.55%,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
PIVOT TABLE 2 — Station Efficiency Ranking,,,,,,,
,,,,,,,
Station,Total Monitored Capacity,Total Generation,Total Available,Total Outage,Capacity Factor %,Availability %,Outage %
TALCHER (OLD) TPS UNIT 2,1740,41.52,1740,0,2.39%,100.00%,0.00%
KORBA STPS UNIT 2,12400,278.07,11800,600,2.24%,95.16%,4.84%
SINGRAULI STPS UNIT 4,11600,259.82,11200,400,2.24%,96.55%,3.45%
RIHAND STPS UNIT 6,36000,803.04,34500,1500,2.23%,95.83%,4.17%
SINGRAULI STPS UNIT 2,13000,289.66,13000,0,2.23%,100.00%,0.00%
RIHAND STPS UNIT 5,32000,705.59,31000,1000,2.20%,96.88%,3.13%
KORBA STPS UNIT 1,9800,214.91,9200,600,2.19%,93.88%,6.12%
SIPAT STPS UNIT 5,37000,808.64,35500,1500,2.19%,95.95%,4.05%
KORBA STPS UNIT 6,32000,696.22,30500,1500,2.18%,95.31%,4.69%
KORBA STPS UNIT 4,27000,587.32,25500,1500,2.18%,94.44%,5.56%
KORBA STPS UNIT 3,11200,243.15,10200,1000,2.17%,91.07%,8.93%
SIPAT STPS UNIT 1,28380,615.58,26400,1980,2.17%,93.02%,6.98%
NORTH KARANPURA TPP UNIT 2,6600,142.47,6600,0,2.16%,100.00%,0.00%
KORBA STPS UNIT 7,32500,700.67,31000,1500,2.16%,95.38%,4.62%
TALCHER (OLD) TPS UNIT 1,1380,29.63,1260,120,2.15%,91.30%,8.70%
VINDHYACHAL STPS UNIT 12,28500,611.64,26000,2500,2.15%,91.23%,8.77%
SIPAT STPS UNIT 3,41580,890.88,38280,3300,2.14%,92.06%,7.94%
RIHAND STPS UNIT 2,30500,649.66,28500,2000,2.13%,93.44%,6.56%
KORBA STPS UNIT 5,30500,647.51,28500,2000,2.12%,93.44%,6.56%
VINDHYACHAL STPS UNIT 13,33500,711.18,31500,2000,2.12%,94.03%,5.97%
VINDHYACHAL STPS UNIT 1,10080,213.79,9450,630,2.12%,93.75%,6.25%
VINDHYACHAL STPS UNIT 5,12600,267.19,11970,630,2.12%,95.00%,5.00%
RIHAND STPS UNIT 3,24000,507.85,22000,2000,2.12%,91.67%,8.33%
TALCHER STPS UNIT 6,31500,663.98,30000,1500,2.11%,95.24%,4.76%
VINDHYACHAL STPS UNIT 9,31500,661.38,29000,2500,2.10%,92.06%,7.94%
VINDHYACHAL STPS UNIT 2,14910,312.33,13650,1260,2.09%,91.55%,8.45%
SINGRAULI STPS UNIT 3,13800,288.69,12400,1400,2.09%,89.86%,10.14%
RIHAND STPS UNIT 1,27000,562.72,25500,1500,2.08%,94.44%,5.56%
SINGRAULI STPS UNIT 1,14200,295.71,13000,1200,2.08%,91.55%,8.45%
DARLIPALI STPS UNIT 2,25600,531.95,24800,800,2.08%,96.88%,3.13%
VINDHYACHAL STPS UNIT 6,11130,230.41,9870,1260,2.07%,88.68%,11.32%
SINGRAULI STPS UNIT 5,12000,247.25,11000,1000,2.06%,91.67%,8.33%
NORTH KARANPURA TPP UNIT 1,15180,311.34,13860,1320,2.05%,91.30%,8.70%
BARH STPS UNIT 4,19800,405.29,19800,0,2.05%,100.00%,0.00%
VINDHYACHAL STPS UNIT 7,34500,705.82,31000,3500,2.05%,89.86%,10.14%
VINDHYACHAL STPS UNIT 4,9870,201.6,9030,840,2.04%,91.49%,8.51%
VINDHYACHAL STPS UNIT 11,34500,703.24,30500,4000,2.04%,88.41%,11.59%
