Year,Month,Date,State,State_Clean,Station,Station_Clean,Monitored,Available,Power generation report for NTPC Station under (Dated) program,Power generation under todays actual,Coal Stock,Outage,Daily_Capacity_Factor,Zero_Gen_Flag,Zero_Gen_Check_Count,Capacity_Category,
2026,January-2026 ,1/22/2026,Telangana,Telangana,RAMAGUNDEM STPSUnit 2,RAMAGUNDEM STPS UNIT 2,200,200,3.81,3.51,21.00,0.00,73.13,OK,0,Low Capacity,
2022,July-2022 ,7/10/2022,Bihar,Bihar,BARAUNI TPSUnit 8,BARAUNI TPS UNIT 8,250,250,2.81,5.76,11.00,0.00,96.00,OK,0,Low Capacity,
2017,September-2017 ,9/22/2017,Uttar Pradesh,Uttar Pradesh,SINGRAULI STPSUnit 6,SINGRAULI STPS UNIT 6,500,500,10.93,10.53,0.00,0.00,87.75,OK,0,Low Capacity,
2021,May-2021 ,5/13/2021,Uttar Pradesh,Uttar Pradesh,DADRI (NCTPP)Unit 5,DADRI (NCTPP) UNIT 5,490,490,2.84,6.62,15.00,0.00,56.29,OK,0,Low Capacity,
2022,September-2022 ,9/13/2022,Uttar Pradesh,Uttar Pradesh,UNCHAHAR TPSUnit 3,UNCHAHAR TPS UNIT 3,210,210,3.07,3.70,3.00,0.00,73.41,OK,0,Low Capacity,
2018,September-2018 ,9/4/2018,Maharashtra,Maharashtra,MAUDA TPSUnit 3,MAUDA TPS UNIT 3,660,660,4.87,10.98,"1,517.45",0.00,69.32,OK,0,High Capacity,
2023,Jul-23,31-Jul-23,Telangana,,TELANGANA STPP_Unit 2,TELANGANA STPP UNIT 2,0,0,9.68,0,0,0,0,,,,
2019,December-2019 ,12/17/2019,Uttar Pradesh,Uttar Pradesh,DADRI (NCTPP)Unit 6,DADRI (NCTPP) UNIT 6,490,490,0.00,7.33,34.00,0.00,62.33,OK,0,Low Capacity,
2020,January-2020 ,1/8/2020,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 3,VINDHYACHAL STPS UNIT 3,210,210,4.29,4.49,11.00,0.00,89.09,OK,0,Low Capacity,
2024,May-2024 ,5/1/2024,Telangana,Telangana,TELANGANA STPP PH-1Unit 2,TELANGANA STPP PH-1 UNIT 2,800,800,12.06,15.40,10.00,0.00,80.21,OK,0,High Capacity,
